id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22469006,Appartement centre ville de Montréal,55949851,Julien,,Ville-Marie,45.51649,-73.56065,Entire home/apt,60,8,1,2018-09-09,0.06,2,0
22469902,House near the Prairies River,164714644,Jian,,Rivière-des-Prairies-Pointe-aux-Trembles,45.63292,-73.61175,Private room,18,3,4,2019-03-22,0.19,6,102
22470655,Beautiful room in Mtl (not basement),857294,Andrea,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.50202,-73.63963,Private room,30,1,24,2019-12-21,1.15,3,352
22474712,Location - Période du 29 décembre au 1er janvier,129468891,Alexis,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49522,-73.61083,Entire home/apt,37,2,0,,,2,0
22476670,"Grand logement (avec jardin), idéal pour famille !",9207384,Nicolas,,Rosemont-La Petite-Patrie,45.55068,-73.59436,Entire home/apt,94,7,4,2020-01-02,0.23,1,0
22480711,Appartement - Nouvel An à Montréal,129468891,Alexis,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49516,-73.61124,Entire home/apt,40,1,0,,,2,0
22484892,"Grand appartement, aire ouverte et deux chambres",136761746,Christian,,Rosemont-La Petite-Patrie,45.55199,-73.55885,Entire home/apt,110,1,0,,,1,0
22484964,Grande chambre à Jean-Talon,7022653,Noémie,,Rosemont-La Petite-Patrie,45.54345,-73.61111,Private room,25,2,5,2019-03-13,0.20,1,0
22485691,"PLATEAU renovated loft style apt, 1 closed bedroom",143034878,Andrew,,Le Plateau-Mont-Royal,45.53036,-73.57872,Entire home/apt,70,2,2,2018-06-18,0.08,1,0
22488303,One BR apartment in downtown Montreal 6️⃣4️⃣,164923431,Mandy,,Le Plateau-Mont-Royal,45.50947,-73.57612,Entire home/apt,150,31,39,2019-12-28,4.03,7,89
22494821,Snowdon Airbnb - Newly renovated 3 bdrm classic!,164998955,Lisa,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48343,-73.62841,Entire home/apt,80,1,134,2020-01-02,5.64,1,85
22495972,Coeur de Montreal,60403706,Martin,,Ville-Marie,45.53354,-73.56146,Entire home/apt,43,2,3,2018-04-19,0.13,1,0
22497690,"Spacious, cozy bedroom in quiet neighborhood",113575677,Pavleen,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47525,-73.60573,Private room,23,1,1,2018-01-01,0.04,1,0
22497886,Room and private office 2 min from subway,4510343,Andreanne,,Verdun,45.45717,-73.57201,Private room,27,30,3,2018-02-14,0.12,1,244
22498112,"""Embassy Condominium LUX "" FREE PARKING Old MLT DT",165041135,Philly Lam Et Indy,,Ville-Marie,45.5056,-73.55786,Entire home/apt,150,1,146,2019-12-22,5.93,6,233
22502400,Montreal Private big Bedroom near all amenities,165094894,Nicholas,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47563,-73.61334,Private room,14,1,0,,,1,0
22505242,Osheaga week-end ! Room Available,64789555,Maria,,Ville-Marie,45.52684,-73.55051,Private room,65,3,7,2019-08-05,0.29,1,0
22505496,Room for you on St-Denis,36571754,Jeremy,,Villeray-Saint-Michel-Parc-Extension,45.54587,-73.63687,Private room,25,1,1,2018-01-04,0.04,3,0
22514138,Modern Condo - CENTRAL - COZY - CLEAN,21937135,Dimitri,,Saint-Laurent,45.50396,-73.6759,Entire home/apt,80,2,2,2018-01-06,0.08,1,23
22527838,Huldiou,165415017,Mathieu,,Le Sud-Ouest,45.48542,-73.57352,Private room,25,2,5,2018-03-30,0.20,1,0
